title,url,company,location,salary,posted,snippets
Civil EIT - Water/Wastewater,https://www.indeed.com/rc/clk?jk=3d82a9b13381bf44&fccid=f1582c464db8553b&vjs=3,Stantec,"North Charleston, SC 29418","",30+ days ago,Regular full-time and part-time employees will receive ten paid holidays in each calendar year. / Travel/ field work 0-25% of the time.
Advanced Automotive Service Technician,https://www.indeed.com/rc/clk?jk=98990d08abc855e9&fccid=168c4f478bad7012&vjs=3,AutoNation USA Charleston,"Charleston, SC 29414","",7 days ago,You bring strong attention to detail and take pride in delivering top-notch work on time. / Your attention to detail will make you a valuable asset to the team as…
Deputy County Supervisor,https://www.indeed.com/rc/clk?jk=d328b1de92bc4ffe&fccid=39b1cc85539167e7&vjs=3,BERKELEY COUNTY GOVERNMENT,"Moncks Corner, SC 29461","",30+ days ago,"Able to perform a wide variety of duties and responsibilities with accuracy and/or speed, at times, under the pressure of time-sensitive deadlines."
Charge Nurse I,https://www.indeed.com/rc/clk?jk=752dc5c20690179f&fccid=18f98cb905fb01c2&vjs=3,Roper St. Francis Healthcare,"Charleston, SC","",30+ days ago,Direct care leader who provides and oversees nursing care for patients following established standards and practices in accordance with the South Carolina Nurse…
Account Executive Commercial Lines,https://www.indeed.com/rc/clk?jk=3bfd608ef428b8e3&fccid=26f960259f86cb49&vjs=3,Brown & Brown Insurance,"Charleston, SC","",30+ days ago,"Spend a considerable amount of time with customers and new business opportunities; generate new business activity through telemarketing, networking, and…"
Roadway Design Engineer,https://www.indeed.com/rc/clk?jk=9ed8262e29dcb3da&fccid=f1582c464db8553b&vjs=3,Stantec,"North Charleston, SC 29418","",30+ days ago,Regular full-time and part-time employees will receive ten paid holidays in each calendar year. / Benefits Summary: Regular full-time and part-time employees have…
RN Case Manager or MSW Case Manager,https://www.indeed.com/rc/clk?jk=c71a420a3d31bacf&fccid=18f98cb905fb01c2&vjs=3,Roper St. Francis Healthcare,"Charleston, SC","",30+ days ago,"Under the general supervision of the Supervisor and/or Manager, and according to established policies and procedures, the MSW or RN Case Manager coordinates,…"
Diesel Technician II,https://www.indeed.com/rc/clk?jk=0c844ddb31d5bd45&fccid=3073aacb222aa912&vjs=3,Knights Companies Inc,"Summerville, SC 29483","","Employer
Active 3 days ago",Ability to stand for long periods of time. / Description:The Diesel Technician II is responsible for performing maintenance and repairs on diesel and non-diesel…
title,url,company,location,salary,posted,snippets
Showroom Manager,https://www.indeed.com/rc/clk?jk=d96f48bac551fc0e&fccid=1cf3dd0afdaa4db2&vjs=3,Visual Comfort & Co.,"Charleston, SC 29403 
(Cannonborough/Elliottbororugh area)","",30+ days ago,Build and develop a dynamic customer centric sales and customer service team. / Provide sales and operations leadership to ensure sales growth targets and key…
"System Manager, Professional Development and Education",https://www.indeed.com/rc/clk?jk=9803e695dd17a401&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC","",30+ days ago,Purpose: The Pharmacy Manager promotes and advocates for professional staff development programs and curricula that support the needs of the clinical learner…
Southeast Regional CL A Drivers Home Weekly 85% Drop n Hook & 95% No Touch,https://www.indeed.com/rc/clk?jk=3691f0309aef799d&fccid=dd616958bd9ddc12&vjs=3,Blue Dog Transportation,"Charleston, SC 29409","$62,000 - $75,000 a year",2 days ago,"Our top-of-the-line fleet features manual transmission trucks, with no auto restrictions, ensuring you have full control of your driving experience."
Assistant/Associate Professor of Physical Therapy,https://www.indeed.com/rc/clk?jk=56f020a3bffd043b&fccid=adea2e8f452c8038&vjs=3,Charleston Southern University,"Charleston, SC 29406","",30+ days ago,Relocation reimbursement is available for the selected candidate. / The program has earned candidacy status from CAPTE and enrolled the first cohort of 48…
Producing Mortgage Sales Manager,https://www.indeed.com/rc/clk?jk=178664a5575394ed&fccid=029c4ee12eebc016&vjs=3,REV Federal Credit Union,"Summerville, SC 29483","",30+ days ago,"Responsible for selling and cross-selling Credit Union services to current and potential members. / Credit Union services are to be promoted using the ""member…"
Clinical Pharmacist - OR Pharmacy Services,https://www.indeed.com/rc/clk?jk=581e95cbd67a8d6c&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,The Clinical Pharmacist provides distributive and clinical pharmacy services to the outpatients and visitors of the Medical University Hospital and Clinics.
SENIOR PROJECT MANAGER,https://www.indeed.com/rc/clk?jk=52efb033b1eecf7a&fccid=61f5277802c50f03&vjs=3,Freese Johnson,"Charleston, SC","",30+ days ago,Well as the contract time and any schedule changes. / Approval through project close-out to ensure on-time delivery. / The SPM will report activities accordingly.
Service Technician Trainee - Charleston,https://www.indeed.com/rc/clk?jk=427b20d42b048787&fccid=a8d48583f1e52c72&vjs=3,Whaley Foodservice,"Charleston, SC 29418","",3 days ago,Contribute positively to branch targets for response time and first time fix rates. / SIGN-ON BONUS POTENTIAL FOR EXPERIENCED TECHNICIANS.
MGR - NURSING,https://www.indeed.com/rc/clk?jk=441ef5ce5746efd7&fccid=c6d2c1878b963218&vjs=3,Palmetto Lowcountry Behavioral Health,"North Charleston, SC 29405","",30+ days ago,Benefits for full time employees include: / Manage and deliver quality general and psychiatric nursing care to all patient populations for treatment of…
Account Manager,https://www.indeed.com/rc/clk?jk=2eff7fdda5d8f1e1&fccid=cec13f6697056352&vjs=3,Clean Harbors,"Charleston, SC 29401","",21 days ago,"Comprehensive health benefits coverage after 30 days of full-time employment. / Generous paid time off, company paid training and tuition reimbursement."
Class A OTR Driversd 70-75CPM No Touch Rider and Pet Day One,https://www.indeed.com/rc/clk?jk=8428b402c6844a58&fccid=dd616958bd9ddc12&vjs=3,White Eagle Transportation,"Charleston, SC 29409","$94,000 - $120,000 a year",2 days ago,This is W-2 job with full benefits. / Must have one full year of Class A Regional or OTR experience in the last three years.
Field Service Technician - Iqvia: MedTech,https://www.indeed.com/rc/clk?jk=dbd34192fb7ef69b&fccid=6b7a1dfe07e7f037&vjs=3,IQVIA,"Charleston, SC","",30+ days ago,Full-time commitment requiring travel. / Ability to sit and stand for long periods of time and lift up to 50 pounds. / Travel nationally to support customer needs.
IT Finance & Performance Manager,https://www.indeed.com/rc/clk?jk=be8288d2506ba148&fccid=dd616958bd9ddc12&vjs=3,"SouthState Bank, National Association","North Charleston, SC","",30+ days ago,Telecommuting roles no matter if hybrid or 100% full time telecommuting must have a secure home office environment that is free from background noise and…
External Mortgage Loan Originator,https://www.indeed.com/rc/clk?jk=604b628dac9e73ef&fccid=666822fd7df8a476&vjs=3,American Neighborhood Mortgage Acceptance Company,"North Charleston, SC 29405","",30+ days ago,AnnieMac Home Mortgage is looking to hire Full Time External Mortgage Loan Originators to establish referral source relationships for a steady flow of loan…
UNIV - Clinical Research Program Coordinator - Department of Medicine: Division of GI & Hepatology,https://www.indeed.com/rc/clk?jk=6666bbbff036473d&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","$45,530 - $64,885 a year",30+ days ago,The person holding this position is viewed and must operate with a substantial amount of autonomy and be willing to use sound judgment while adapting to a…
title,url,company,location,salary,posted,snippets
DevOps Engineer,https://www.indeed.com/rc/clk?jk=53c7355afd7536e2&fccid=c5169cdc426972d4&vjs=3,Base-2 Solutions,"Charleston, SC","",30+ days ago,"Provide subject matter expertise in various risk assessments, working in an Agile environment with an understanding of the full software development lifecycle."
Senior Mechanical Engineer,https://www.indeed.com/rc/clk?jk=60f72b3cda8bbba5&fccid=f3b836e645f9b36d&vjs=3,SAIC,"North Charleston, SC 29406","",14 days ago,Clearance Level Must Be Able to Obtain: None. / SAIC is seeking a Senior Mechanical Engineer to join our team of professionals executing complex systems…
Stormwater Project Manager (Civil Engineer),https://www.indeed.com/rc/clk?jk=3ffb1e34499fe394&fccid=13e8d3bc471a8700&vjs=3,"The City of Charleston, SC","Charleston, SC 29401","$86,882 - $95,592 a year",30+ days ago,"The City of Charleston offers an extensive benefits package for full-time employees, including: health, dental and vision insurance; employer-paid short and…"
Operating Room Registered Nurse,https://www.indeed.com/rc/clk?jk=5c5aaac0dd07d2fd&fccid=34596659b8c05e0c&vjs=3,Health Staff Global Pty Ltd,"Summerville, SC","",17 days ago,"Graduate from an accredited school of Nursing; Associate's Degree in Nursing or higher is required. / Licensed as a Registered Nurse in the state of practice, or…"
Senior Telecommunications Deployment Engineer,https://www.indeed.com/rc/clk?jk=659100c363269991&fccid=5acf3c1d84f9b6de&vjs=3,Govcio LLC,"North Charleston, SC 29405","$90,000 a year",30+ days ago,"Provides installation, technical expertise, and training for all telecommunications equipment and components. / Provides field reporting as required."
UNIV - Clinical Instructor/Fellow FY25/26 – Radiology - Breast Imaging-4,https://www.indeed.com/rc/clk?jk=d73f4a9fa39d19f5&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30 days ago,The Medical University of South Carolina is pleased to offer a one-year non-ACGME fellowship/ junior faculty (Clinical Instructor) position in Breast Imaging…
Project Manager,https://www.indeed.com/rc/clk?jk=32788454ae7bb4c4&fccid=82834ee72f79355c&vjs=3,Advanced Technology International (ATI),"Summerville, SC","",30+ days ago,"Personal time-off (pre-loaded & accrued) plus 12 paid holiday-days. / Education Level Bachelor's Degree. / With guidance from the Program Manager; plan, organize,…"
CL A Southeast Regional Home Wkly-Rider Program-95% No Touch-85% Drop n Hook,https://www.indeed.com/rc/clk?jk=fa82314baa96fedc&fccid=dd616958bd9ddc12&vjs=3,White Eagle Transportation,"Charleston, SC 29409","$62,000 - $75,000 a year",2 days ago,"Drivers will run southeast region (NC, SC, TN, GA, FL, AL, East MS. / Drivers' pay is based on experience and fleet average is $62-$75K/Yr with a guaranteed…"
Clinical Manager,https://www.indeed.com/rc/clk?jk=91e83ea913035be0&fccid=18f98cb905fb01c2&vjs=3,Roper St. Francis Healthcare,"Moncks Corner, SC","",30+ days ago,"The Clinical Manager directs operations of the clinical area ,clinical outcomes, customer satisfaction, marketing, customer experience and fiduciary…"
HVAC Service Technician - Class II - IV,https://www.indeed.com/rc/clk?jk=97bf8013f4876923&fccid=9cc75bfe469f7bdb&vjs=3,Emcor,"Charleston, SC","",30+ days ago,"Possess good time management, organizational and communication (oral and written) skills. / Service and repair heating, ventilating, air conditioning and related…"
Registered Dietitian,https://www.indeed.com/rc/clk?jk=b543ffb37bca99e7&fccid=d3ad84c9dc046cd2&vjs=3,"Dialysis Clinic, Inc.","North Charleston, SC 29418",$25 - $33 an hour,17 days ago,"Paid time off (PTO) including holidays. / Extended Sick Bank (ESB) in addition to PTO – paid time for doctor appointments, sickness or medical leave."
Service Technician & Mechanic - Crane & Heavy Duty Truck,https://www.indeed.com/rc/clk?jk=44253c4c9f464529&fccid=1ddc9155cbbd4278&vjs=3,ALL Family of Companies,"North Charleston, SC 29405","",30+ days ago,"This is a full-time, non-exempt position with comprehensive benefits package. / ALL Carolina Crane Rental, LLC is seeking a Crane and Heavy Duty Truck Service…"
"Clinical Psychologist in the Spartanburg, South Carolina, Area",https://www.indeed.com/rc/clk?jk=29e16e7d8006970d&fccid=c7ae64ef81b1f042&vjs=3,Charleston Area Post-Acute Care Practice,"Charleston, SC","",30+ days ago,"4 weeks of true paid time off; left over days are paid out at the end of the year, no ""use it or lose it"" here. / Unmatched flexibility in your weekly schedule."
UNIV - Open Rank - Pediatric Audiologist - Department of Otolaryngology,https://www.indeed.com/rc/clk?jk=2e69b8c2b2db8f52&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",4 days ago,"This is a fulltime position, requiring a minimum of 40 hours of work per week. / Audiologist is responsible for providing outpatient and inpatient diagnostic…"
UNIV - Open Rank - Clinical Veterinarian - Department of Comparative Medicine,https://www.indeed.com/rc/clk?jk=c987dd848c013ebc&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",21 days ago,The Department of Comparative Medicine (DCM) in the College of Medicine at the Medical University of South Carolina (MUSC) is seeking a clinical veterinarian…
title,url,company,location,salary,posted,snippets
RN SPECIALTY COORDINATOR,https://www.indeed.com/rc/clk?jk=04c4014e8e06be6f&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,The (DDC) Digestive Disease Center RN Specialty Coordinator reports to the (DDC) Front End Operations Manager and is a professional registered nurse with…
Logistics Engineer,https://www.indeed.com/rc/clk?jk=c315ea2ef1a02da8&fccid=d0df1807048d7e5b&vjs=3,Nexans,"Goose Creek, SC 29445","",30+ days ago,"Effective skills in organization, leadership, problem resolution, & time management. / The High Voltage Logistics Engineer role is to support the manufacturing…"
Lead Project Architect,https://www.indeed.com/rc/clk?jk=77a8e0b217958471&fccid=90fb4ce4d29ae3f4&vjs=3,Array Architects Inc,"Charleston, SC 29403","",22 days ago,"Array offers a comprehensive benefits package that includes medical, dental and vision insurance, 401K, paid time-off and flex-time options."
UNIV - Research Specialist III- Bioinformatician - Department of Neuroscience,https://www.indeed.com/rc/clk?jk=847e05cc85db182d&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","$43,030 - $61,323 a year",30+ days ago,"Time will be dedicated to research, but a contribution to supervising is expected, including the. / Develop scientific tools for single cell multiomics and other…"
Civil Engineer,https://www.indeed.com/rc/clk?jk=5eae81663225d9e5&fccid=428079ab47148040&vjs=3,LBE Inc,"Moncks Corner, SC 29461","$120,000 - $135,000 a year",30+ days ago,"Bachelor’s Degree in Civil Engineering. / Proficiency in commonly used software (Word, Excel, Outlook). / Excellent writing and communication skills."
Premier Private Banker,https://www.indeed.com/rc/clk?jk=634f24f503dcd911&fccid=dd616958bd9ddc12&vjs=3,"SouthState Bank, National Association","Charleston, SC","",30+ days ago,Telecommuting roles no matter if hybrid or 100% full time telecommuting must have a secure home office environment that is free from background noise and…
System Technician,https://www.indeed.com/rc/clk?jk=3f84b63cefc9c394&fccid=ce9da44ccfd19e0c&vjs=3,WOW!,"Charleston, SC 29492","",30+ days ago,Every person hired into a full-time position at WOW! is eligible to a one-time restricted stock grant! / Maintain professional appearance and behavior at all…
IA Cybersecurity Engineer,https://www.indeed.com/rc/clk?jk=e231b0bd15939a88&fccid=200a825acadb9338&vjs=3,BAE Systems,"Summerville, SC 29483","$84,689 - $143,994 a year",30+ days ago,"Work in an up time oriented production environment. / Our leave programs include paid time off, paid holidays, as well as other types of leave, including paid…"
Psychosocial Patient Navigator Clinical Therapist,https://www.indeed.com/rc/clk?jk=49499fca7a692bb3&fccid=18f98cb905fb01c2&vjs=3,Roper St. Francis Healthcare,"Ladson, SC","",30+ days ago,The Psychosocial Patient Navigator / Clinical Therapistï¿½s role in the care of oncology patients includes an understanding of and participation in the…
APS-3: Mechanic (Shipboard),https://www.indeed.com/rc/clk?jk=a87ac0bcf3ac986d&fccid=cbfa56f19cc95796&vjs=3,KBR,"Charleston, SC 29401","",30+ days ago,Mechanics provide Field Level Maintenance and surveillance on the full spectrum U.S. / KBR Government Solutions delivers full life cycle professional and…
Director of Clinical Services,https://www.indeed.com/company/Palmetto-Summerville-Behavioral-Health/jobs/Director-of-Clinical-Services-b25ee2ed19fd4876?fccid=526f0ae421aaad71&vjs=3,Palmetto Summerville Behavioral Health,"Summerville, SC 29485","","Employer
Active 2 days ago",Works directly with the Director of Nursing and other Senior Managers to ensure effective & safe therapeutic practices are being provided at all times.
Senior Quality Engineer,https://www.indeed.com/rc/clk?jk=1753e7a13639492c&fccid=b657433e58a9d0df&vjs=3,Parker Hannifin Corporation,"Moncks Corner, SC 29461","",30+ days ago,"Develops, modifies, applies, and maintains quality standards for products and processes. / Provides diverse and complex statistical information for quality…"
RN MRP System - Emergency Department,https://www.indeed.com/rc/clk?jk=be72d98af9ed9579&fccid=18f98cb905fb01c2&vjs=3,Roper St. Francis Healthcare,"Charleston, SC","",16 days ago,To provide nursing care for patients following established standards and practices in accordance with the South Carolina Nurse Practice Act.
Principal Software Engineer,https://www.indeed.com/rc/clk?jk=5176cd58ee7b0340&fccid=c5169cdc426972d4&vjs=3,Base-2 Solutions,"Charleston, SC","",30+ days ago,"This position is responsible for working with DoD, IC, and Federal customers to develop, deploy and configure data centric Zero Trust solutions."
Licensed Practical Nurse (LPN) II - University Internal Medicine,https://www.indeed.com/rc/clk?jk=02e424f62560fe15&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,"Services include women’s and men’s health services, geriatric and palliative care as well as care for multiple, complex conditions such as diabetes and high…"
title,url,company,location,salary,posted,snippets
UNIV-Open Rank-Department of Neurosurgery,https://www.indeed.com/rc/clk?jk=9f51867f71673458&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,Candidates with basic or translational research interests are encouraged to apply. / Candidate will be expected to actively participate in the academic activities…
Outside Sales Account Manager- Test and Measurement,https://www.indeed.com/rc/clk?jk=943b1cc4dbef2b74&fccid=8856e7d6c52ba613&vjs=3,Continental Resources,"Charleston, SC","",30+ days ago,The position reports directly to the Regional Sales Manager. / Maintain current accounts and develop new business in order to generate rental and sales volume for…
Senior Manufacturing Engineer – Assembly & Automation Technology,https://www.indeed.com/rc/clk?jk=743fa70f7ee1fc02&fccid=4f73d41c25b0f9a3&vjs=3,SHL Medical AG,"Charleston, SC","",30+ days ago,Our customers include top pharmaceutical and biotech companies from around the globe that require innovative devices such as auto-injectors or pen injectors to…
Registered Nurse II - 151960,https://www.indeed.com/rc/clk?jk=9e00baceca03b571&fccid=a726d6d11c49c4c5&vjs=3,State of South Carolina,"Charleston County, SC","",30+ days ago,"Under limited supervision, will provide direct and indirect nursing services to patients at the Tricounty Crisis Stabilization Unit."
Manufacturing Engineer,https://www.indeed.com/rc/clk?jk=dd382e9632162b08&fccid=8203bf77b6d24450&vjs=3,Curtiss-Wright,"Summerville, SC","",30+ days ago,"Identify new and/or improved processes for reducing rework, cycle-time, and costs for assigned projects. / If you require accommodation due to a disability at any…"
Computer Systems Analyst III,https://www.indeed.com/rc/clk?jk=888be5edd040706b&fccid=15cf64639d4a8008&vjs=3,SPN Solutions Inc.,"Goose Creek, SC 29445","",30+ days ago,"SPN Solutions Inc. is seeking an experienced and certified Computer System Analyst III to join our Department of Defense contract team in Charleston, South…"
Information Systems Security Engineer,https://www.indeed.com/rc/clk?jk=9a7377a7598fd60b&fccid=a6b5e6493829cf03&vjs=3,Joint Tactics and Technologies,"Charleston, SC","",30+ days ago,"Employee Benefits: 401k, 80% of premium paid for you and family for health, dental and vision insurance, generous paid time off, reimbursement for exams and…"
Tax Senior,https://www.indeed.com/rc/clk?jk=05978c4e35155c98&fccid=a3b99287cfeec2b7&vjs=3,Elliott Davis LLC,"Charleston, SC","",30+ days ago,"Strong time and work management skills. / Generous time away, including 15 paid firm holidays per year, including the week between Christmas and."
FDA Postdoc Fellowship in the Characterization of Heavy Metals in Sweetpotato,https://www.indeed.com/rc/clk?jk=1c64b6804f383232&fccid=2ca3f41384485c35&vjs=3,USDA ARS,"Charleston, SC","",30+ days ago,"The appointment is full-time at FDA in the Charleston, South Carolina area. / A research opportunity is currently available at the U.S. Food and Drug…"
Account Executive- Hospice,https://www.indeed.com/rc/clk?jk=2e90acbd49d35993&fccid=3e4fbd62679a41c3&vjs=3,Traditions Health,"Charleston, SC","",29 days ago,"The Account Executive (AE) assumes responsibility for achieving financial goals by implementing marketing and sales strategies, in the assigned territory, aimed…"
Physical Therapist Assistant,https://www.indeed.com/rc/clk?jk=cc4de97cef393633&fccid=372c67c2aca87b9c&vjs=3,Results Physiotherapy,"North Charleston, SC 29418","",30+ days ago,"Flexible Work Schedules (Monday-Friday). / Excellent benefits package, including Medical, Dental, and Vision. / 401k matching, PTO, holidays & more!"
Stationary Engineer,https://www.indeed.com/rc/clk?jk=c173535c013399ed&fccid=9917de3c28f569f6&vjs=3,JLL,"Charleston, SC 29401","",11 days ago,"Operates and maintains stationary engines and mechanical equipment, air compressors, generators, motors, turbines, and steam boilers, to provide utilities, such…"
CT Technologist FT Weekend Nights,https://www.indeed.com/rc/clk?jk=a521387596be2bea&fccid=18721e88ef6fc058&vjs=3,East Cooper Medical Center,"Mount Pleasant, SC","",26 days ago,"Provides quality care to patients of all age groups, from newborn to elderly, according to department standards."
RN Infection Control/Safety,https://www.indeed.com/rc/clk?jk=033d9b813aea8811&fccid=4ee86c3b7ee87db1&vjs=3,White Oak Manor Charleston,"North Charleston, SC 29406",$33 - $35 an hour,8 days ago,The Infection Control/Safety Nurse is a full time Monday-Friday day shift position. / 5-7 years experience in infection prevention and/or safety preferred.
Registered Nurse II - Dialysis,https://www.indeed.com/rc/clk?jk=81a5d96906781e9b&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,"Under general supervision, the Registered Nurse II provides individualized, goal-directed patient care to families and patients at the competent level utilizing…"
title,url,company,location,salary,posted,snippets
Field Service Technician 1,https://www.indeed.com/rc/clk?jk=e2e8ca7ad29ce907&fccid=2d528bb3e64ed1c3&vjs=3,"Burroughs, Inc.","North Charleston, SC 29405","",10 days ago,Does the idea of troubleshooting electronic equipment intrigue you? / Are you interested in electro-mechanical repair and maintenance?
Relief Staff Leader II- 8D Acute Care Unit,https://www.indeed.com/rc/clk?jk=f09f3c5414ccfb93&fccid=a0cb52b0fb3555b4&vjs=3,MUSC,"Charleston, SC 29407","",30+ days ago,"Under general supervision, the Registered Nurse II provides individualized, goal-directed patient care to families and patients at the competent level utilizing…"
Registered Nurse (3rd Shift),https://www.indeed.com/rc/clk?jk=404755c447082113&fccid=526f0ae421aaad71&vjs=3,Palmetto Summerville Behavioral Health,"Summerville, SC 29485","",30+ days ago,Palmetto Summerville Behavioral Health is seeking a dynamic and talented RN (Nights). / Palmetto Summerville Behavioral Health is a comprehensive behavioral…
IT Configuration Management Database Administrator (remote capability),https://www.indeed.com/rc/clk?jk=1c25226b43c552dd&fccid=dd616958bd9ddc12&vjs=3,"SouthState Bank, National Association","Remote in North Charleston, SC","",8 days ago,Telecommuting roles no matter if hybrid or 100% full time telecommuting must have a secure home office environment that is free from background noise and…
CDL-A Tanker Drivers: LIMITED OPENINGS! Earn $95k-$100k/Yr and Get Home Often!,https://www.indeed.com/rc/clk?jk=c8328498a1965788&fccid=85f6beed290663bc&vjs=3,Oakley Transport,"North Charleston, SC","$95,000 - $100,000 a year",9 days ago,Oakley Transport isn't your typical trucking company. / We pride ourselves as being a people company that happens to work in trucking. / Valid Class-A CDL License.
COUNSELOR (MA/MSW),https://www.indeed.com/rc/clk?jk=a5836f7950f7f9fe&fccid=c6d2c1878b963218&vjs=3,Palmetto Lowcountry Behavioral Health,"North Charleston, SC 29405","",18 days ago,We are currently recruiting for full-time Social Worker/Licensed Professional Counselor. / Other: Ability to relate well with treatment professionals; Ability to…
Account Executive,https://www.indeed.com/rc/clk?jk=be298e5733a23b5b&fccid=8aa5585add285eaf&vjs=3,FS of the Carolinas LLC,"North Charleston, SC 29418","","Employer
Active 7 days ago",Willing to travel up to 35% of the time may be needed and attendance to industry and trade shows may be possible. / A few things about us….
Senior Construction Project Manager - Data Center Projects,https://www.indeed.com/rc/clk?jk=55c59eec55c674fa&fccid=c9b9e477b3c84b4d&vjs=3,CBRE,"Moncks Corner, SC","",30+ days ago,"Define project risk and track and share with clients in real time. / Charleston - South Carolina - United States of America, Moncks Corner - South Carolina -…"
"Wealth Management, Senior Registered Client Service Associate (Mount Pleasant, SC)",https://www.indeed.com/rc/clk?jk=c6a8504792b20642&fccid=a29e9c4c46532426&vjs=3,Raymond James Financial,"Mount Pleasant, SC","",30+ days ago,"Identify time sensitive items and assess competing priorities. / Wealth Management, Senior Registered Client Service Associate (Mount Pleasant, SC)-2302672."
Civil Designer I,https://www.indeed.com/rc/clk?jk=563acaa98a4a4a4b&fccid=dd616958bd9ddc12&vjs=3,"Seamon, Whiteside & Assoc Inc","Mount Pleasant, SC 29464","",30+ days ago,"Ability to work independently to effectively manage time and work in a team environment. / Since the company’s beginning in 1985, we’ve blended the disciplines of…"
Architect (Registered),https://www.indeed.com/rc/clk?jk=ec5cc9eeccd779b8&fccid=428079ab47148040&vjs=3,LBE Inc,"Moncks Corner, SC 29461","$110,000 - $135,000 a year",30+ days ago,"Benefit conditions are that only full-time employees are eligible. / Salary Range: $110K-135K. / LBE, Inc. is looking for an architect with 3+ years of experience…"
"Equipment Operator II (Goose Creek, SC)",https://www.indeed.com/rc/clk?jk=19628394d74dc380&fccid=75aff752794baac1&vjs=3,Burns & McDonnell,"Goose Creek, SC","",29 days ago,The position will be expected to assist other crafts in their down times which may include non-operating activities. / Read and interpret engineering drawings.
101512 - Relationship Manager I - Healthcare Business Banking,https://www.indeed.com/rc/clk?jk=bd5ac8de0fec7197&fccid=b1330bfa6e5aae73&vjs=3,PNC Financial Services Group,"Charleston, SC 29401 
(Mazyck-Wraggborough area)","",30+ days ago,"Focuses on bringing entire bank to the client by presenting the full range of PNC's products and services. / Depending on your eligibility, options for full-time…"
Superintendent,https://www.indeed.com/rc/clk?jk=095a44c523acac34&fccid=9bad3db477256c38&vjs=3,D.R. Horton,"Charleston, SC","",30+ days ago,"D.R. Horton, Inc., the largest homebuilder in the U.S., was founded in 1978 and is a publicly traded company on the New York Stock Exchange."
Drafter CAD Operator IV,https://www.indeed.com/rc/clk?jk=5250483168772eb2&fccid=f3b836e645f9b36d&vjs=3,SAIC,"North Charleston, SC 29420","",16 days ago,SAIC is seeking a Drafter/CAD Operator IV to add to the contract under Distributed Common Ground/Surface System – Marine Corps (DCGS-MC) and to provide them…
title,url,company,location,salary,posted,snippets
MVS/Service Manager,https://www.indeed.com/rc/clk?jk=31ece8c4046a642e&fccid=6c7a69fa3f448254&vjs=3,Firestone Complete Auto Care,"Mount Pleasant, SC 29466","",7 days ago,"We provide formal training, performance incentives, paid vacation and holidays, competitive healthcare packages for full-time and part-time employees, and a…"
Electrician,https://www.indeed.com/rc/clk?jk=80d2c982a9cb7f17&fccid=cf41e3b1178fa2a1&vjs=3,Freedom Forever,"Charleston, SC 29420","",30+ days ago,Stand for long periods of time. / Competitive pay + Install Bonuses + Benefits. / The Electrician is responsible for providing the technical expertise to safely…
Production Associate,"https://www.indeed.com/company/Century-Aluminum,-SC-MT-HOLLY/jobs/Production-Associate-e4b5efb97d644785?fccid=4f675fca11442b45&vjs=3","Century Aluminum, SC MT HOLLY","Goose Creek, SC",$25 - $27 an hour,"Employer
Active 2 days ago","This is a full-time, hourly position with rotating shifts, located in Mt. Holly, Goose Creek, SC. / Preferred at least 1 year of experience in an industrial…"
Psychiatric RN,https://www.indeed.com/rc/clk?jk=5ea40cfb4aa09b04&fccid=937797f357bc1b82&vjs=3,Amedisys,"Charleston, SC 29414","$70,200 - $81,120 a year",23 days ago,"Fleet vehicle program (for full-time caregivers meeting certain requirements). / Your time off is really yours."". / Completes documentation timely and accurately."
Charge Nurse I,https://www.indeed.com/rc/clk?jk=7cf43c03452960d1&fccid=18f98cb905fb01c2&vjs=3,Roper St. Francis Healthcare,"Charleston, SC","",30+ days ago,Direct care leader who provides and oversees nursing care for patients following established standards and practices in accordance with the South Carolina Nurse…
Occupational Therapist,https://www.indeed.com/rc/clk?jk=38636f49ac862cef&fccid=2caeb3b077dae9a7&vjs=3,FOX Rehabilitation,"Summerville, SC","",14 days ago,Provide Geriatric House Calls™ to older adults. / Deliver proactive and evidence-based therapy to older adults. / Flexible schedule created by you.
CL A OTR Reefer 80K-110K/Yr-No Touch-Rider and Dog OK,https://www.indeed.com/rc/clk?jk=2ff4fac183b4eae2&fccid=cd3a847e559d96d8&vjs=3,Class A Truckin,"Charleston, SC 29409","$80,000 - $110,000 a year",13 days ago,OTR reefer with starting pay of $.61-$.70CPM on 2700-3200MPW on all miles ($1650-$2240/WK) with average run being 750-850 miles.
